NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	Details ...	200	0.56824726	1.892701	0.0	0.0014516128	0.001	8376	tags=64%, list=30%, signal=90%	
HALLMARK_G2M_CHECKPOINT	HALLMARK_G2M_CHECKPOINT	Details ...	199	0.53837234	1.8073533	0.0	0.005977784	0.009	8062	tags=55%, list=28%, signal=76%	
HALLMARK_PANCREAS_BETA_CELLS	HALLMARK_PANCREAS_BETA_CELLS	Details ...	38	0.6586159	1.7404488	0.008880994	0.009635865	0.022	3667	tags=45%, list=13%, signal=51%	
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	Details ...	200	0.51822954	1.7220079	0.0	0.008780535	0.027	7011	tags=48%, list=25%, signal=63%	
HALLMARK_SPERMATOGENESIS	HALLMARK_SPERMATOGENESIS	Details ...	119	0.4882676	1.54114	0.004518072	0.071092	0.239	5547	tags=40%, list=20%, signal=50%	
HALLMARK_COMPLEMENT	HALLMARK_COMPLEMENT	Details ...	200	0.4447576	1.4636477	0.009589041	0.12878425	0.45	5497	tags=26%, list=19%, signal=32%	
HALLMARK_HEDGEHOG_SIGNALING	HALLMARK_HEDGEHOG_SIGNALING	Details ...	36	0.55758286	1.4611652	0.052991454	0.11359042	0.463	8084	tags=44%, list=29%, signal=62%	
HALLMARK_COAGULATION	HALLMARK_COAGULATION	Details ...	132	0.45281237	1.4393986	0.02186589	0.121120356	0.528	5132	tags=30%, list=18%, signal=37%	
HALLMARK_INFLAMMATORY_RESPONSE	HALLMARK_INFLAMMATORY_RESPONSE	Details ...	200	0.42722753	1.4243624	0.0085227275	0.12541868	0.582	6706	tags=34%, list=24%, signal=44%	
HALLMARK_BILE_ACID_METABOLISM	HALLMARK_BILE_ACID_METABOLISM	Details ...	110	0.45303056	1.415174	0.032258064	0.12270461	0.605	7497	tags=37%, list=26%, signal=51%	
HALLMARK_INTERFERON_ALPHA_RESPONSE	HALLMARK_INTERFERON_ALPHA_RESPONSE	Details ...	97	0.45578918	1.3867545	0.04511278	0.14296716	0.688	6896	tags=37%, list=24%, signal=49%	
HALLMARK_ANGIOGENESIS	HALLMARK_ANGIOGENESIS	Details ...	35	0.5383285	1.3832635	0.086440675	0.13494731	0.697	5307	tags=40%, list=19%, signal=49%	
HALLMARK_INTERFERON_GAMMA_RESPONSE	HALLMARK_INTERFERON_GAMMA_RESPONSE	Details ...	200	0.40211624	1.335871	0.04505814	0.19130543	0.842	8821	tags=42%, list=31%, signal=61%	
HALLMARK_MITOTIC_SPINDLE	HALLMARK_MITOTIC_SPINDLE	Details ...	199	0.38537902	1.2758956	0.06477733	0.28041887	0.948	10040	tags=44%, list=35%, signal=68%	
HALLMARK_MTORC1_SIGNALING	HALLMARK_MTORC1_SIGNALING	Details ...	200	0.3783599	1.2660367	0.066187054	0.28220975	0.956	10649	tags=52%, list=38%, signal=83%	
HALLMARK_IL6_JAK_STAT3_SIGNALING	HALLMARK_IL6_JAK_STAT3_SIGNALING	Details ...	85	0.41546533	1.2401826	0.124042876	0.31925705	0.978	7298	tags=33%, list=26%, signal=44%	
