sample,sv_count,l1_count,l1_count_log,amplicon_high,ecDNA_pos
B4,162,18,2.9444389791664403,True,True
B134,304,35,3.58351893845611,False,False
B187,20,7,2.0794415416798357,False,False
B42,389,490,6.19644412779452,True,True
B32,12,0,0.0,False,False
B12,33,2,1.0986122886681096,False,False
B156,7,0,0.0,False,False
B123,137,31,3.4657359027997265,True,True
B24,20,1,0.6931471805599453,False,False
B85,19,1,0.6931471805599453,False,False
B39,69,0,0.0,False,True
B74,40,0,0.0,False,True
B67,52,1,0.6931471805599453,False,False
B157,9,5,1.791759469228055,False,False
B175,16,5,1.791759469228055,False,False
B178,46,0,0.0,False,False
B22,11,1,0.6931471805599453,False,False
B5,218,20,3.044522437723423,True,True
B94,10,12,2.5649493574615367,False,False
B154,17,0,0.0,False,False
B87,4,0,0.0,False,False
B125,23,6,1.9459101490553132,False,True
B60,25,0,0.0,False,False
