gene_id	gene_name	B123tumor	B125tumor	B134tumor	B154tumor	B156tumor	B157tumor	B175tumor	B178tumor	B187tumor	B24tumor	B39tumor	B42tumor	B4tumor	B5tumor	B60tumor	B74tumor	B94tumor
ENSG00000000003	TSPAN6	370	6985	7105	10120	3986	13825	22082	10053	3783	9476	1607	7983.001	21044	1896	8921.001	662	10345
ENSG00000000005	TNMD	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000000419	DPM1	1278	3657	4037.001	2610	2398.001	1925	3978.999	3403.001	1849.001	3409	930	1399.001	3864	1951.998	2087	839	2107.001
ENSG00000000457	SCYL3	1839.999	1847	1481	2772	1765	1502	2219	2441.999	1776.001	1841	490	2314.999	5048	1662.001	1414.001	415	2529
ENSG00000000460	FIRRM	1190.999	617	1076.001	557	292	116	1137	426	468.999	348	212.999	1556	3047.999	1441	585	221.001	458.999
ENSG00000000938	FGR	525	394	60	706	1313	334	250	386	735	1098.999	170	529	309	145	404.001	139.001	494
ENSG00000000971	CFH	4718.334	8425.359	1142.846	23856.206	14727.468	5417.246	506	8377.799	8481.203	6325.104	592.031	1713.005	7305.744	564.273	5782.062	14.235	20432.797
ENSG00000001036	FUCA2	1210	9505.999	2397	6226	8780	3991	6222	7129	2965	11786	858	5057	11224	7671	5416	799	4261
ENSG00000001084	GCLC	1090.999	9126.001	64766	21059.001	22593	17778	9424.999	8222.002	13071	13877	1563	10878.001	10009	22362	25482	2807	16252
ENSG00000001167	NFYA	1848	3420	3747	3923.141	4389	3603	3202	4360	3475	4440	1408	4455	7051	2777	3152	1470	3192
ENSG00000001460	STPG1	186.999	607	687	906.999	592	865	348	635	545.001	1038.999	118	479	2763	839	680	222.999	466
ENSG00000001461	NIPAL3	2251	5921	2911	6774.001	6689.001	4644	4987	5712.001	4924	5508.001	1117	3413	15218.001	1715	4607	1836	3466.001
ENSG00000001497	LAS1L	2811	2701.999	4153.999	4751	2620.999	3654.001	2067.001	4418.998	3972	4714	1599.002	4561	10071.999	4454	2953.001	1326	3163.999
ENSG00000001561	ENPP4	307	463	1533	2920	2878	1703	4802	2197	1386	1276	248	1895	4872	1273	2796	46	3103
ENSG00000001617	SEMA3F	328	18283.001	10582.001	34527.999	27194.001	12615	8460.999	14097.999	11537.001	18781.001	1548	24104	19970	1548.001	8107	5357.001	26320
ENSG00000001626	CFTR	45	131	0	0	0	0	389	22	132	0	26	0	20	3586	0	0	55
ENSG00000001629	ANKIB1	3422.001	7143	7751.001	15151.999	8803	6395	7940	9665.001	8578.001	9753.001	2263.999	7431	24660.999	9122	7547	1740	6426.001
ENSG00000001630	CYP51A1	2073.5	6135.799	5100.151	12808.607	6764.093	4247.135	15155.289	4748.816	8063.603	12778.955	1080.089	5143.501	24750.394	17020.824	5621.461	1452.112	3666.575
ENSG00000001631	KRIT1	3161.886	3274.62	3312.782	7334.109	4142.586	4428.997	2025.973	4940.725	3886.589	3925.068	1808.792	2221.414	8319.972	4286.365	3343.182	1491.821	3386.286
ENSG00000002016	RAD52	1150.999	791.999	448	1392	711	1403.541	671	1137	1062.001	807.001	420	531.001	1061.696	620.999	775	619	993
ENSG00000002079	MYH16	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0
ENSG00000002330	BAD	913	3337	1558.999	3696	3104.999	1581.999	1116	2809	1086.999	3442	302	4145	3831	2055	3230	416.001	2111.001
ENSG00000002549	LAP3	3383.999	8356	3865.001	4201	4409.001	3037	4051.001	4623	4188	10474.999	945.998	6643	6800	5797	3802.999	588.001	2896.001
ENSG00000002586	CD99	4788.832	6619.868	2831.791	2620.871	2179.958	2355.508	1551.715	4681.719	2201.391	6661.401	1724.042	8889.43	4867.077	8002.794	3603.238	493.743	2034.091
ENSG00000002587	HS3ST1	78	1994	3666	4564.999	9662	2987	2593	2986	318	2958	325	9273	4094.999	558	2515	950	4168
ENSG00000002726	AOC1	305	204	2056	148	0	16	25	2034	2248	626	22	196	0	358	57	85	359
ENSG00000002745	WNT16	0	16	0	0	0	0	0	0	55	0	15	11	0	13	0	0	5
ENSG00000002746	HECW1	997	108	174	786	23	26	151	92	347	150	208	216	137	110	33	7	40
ENSG00000002822	MAD1L1	1892.242	3421.999	2690.547	3166.206	2386	1907.001	2265	4087.962	3250	4776.999	1077.048	2339.561	6047.555	2511.635	3129.683	1032.753	2485.518
